4-х зерновая каша Myllyn Paras;11.4;2.8;61.1;320
4-х зерновые хлопья Myllyn Paras;11.4;2.8;51.1;320
Actimel Вишня;2.9;1.5;11.5;74
Actimel Гранат;2.7;1.5;11.5;73
Actimel Земляника и шиповник;2.7;1.5;11.5;73
Actimel Клубника;2.7;1.5;11.5;72
Actimel Малина и клюква;2.7;1.5;11.5;72
Actimel Мультифрукт;2.7;1.5;12;75
Actimel Натуральный;2.8;1.6;10.5;71
Actimel Черника и ежевика;2.9;1.5;11.5;74
Gallina Blanca 15 овощей;9.5;2.5;31.5;187
Gallina Blanca 15 трав и специй;11.7;1.7;29;178
Gallina Blanca Универсальная приправа;7.8;0.7;12.8;89
Kamis Прованские травы;15.5;6.5;20.9;204
Knorr Ароматная приправа для борща;8.5;7;36;241
Knorr Ароматная приправа для мяса;6;2;25.5;144
Knorr Ароматная приправа для рыбы;5.5;4;59;294
Knorr Ароматная приправа Классика овощей;8;1.5;23;138
Knorr Бульон говяжий Душа обеда;6.6;4.6;3.9;83
Knorr Бульон куриный Душа обеда;6.6;6.5;4.6;103
Maggi Cупер Приправа весенняя зелень;0.8;2.6;11.9;75
Maggi Говяжий бульон на косточке;3.8;9.8;28.1;218
Maggi Зажарка из лука и моркови;3.8;11.5;36.9;267
Maggi Зажарка со сладким перцем;5;10.7;31.3;242
Maggi Заправка Для кислых щей;2;2.2;19.5;106
Maggi Куриный бульон;0.3;2.1;9.6;59
Maggi Куриный бульон Золотой;0.8;9.9;22.7;186
Maggi Куриный бульон с овощами и зеленью;1.2;9.7;25.5;194
Maggi Приправа Букет приправ для курицы;6.2;2.2;23.9;144
Maggi Приправа Дары природы;4.7;8.8;32.8;231
Maggi Приправа сухая Душистый пучок;1.2;5.4;14.2;111
Neo Имунеле Natural;1.8;0.9;11.8;63
Neo Имунеле Гранат-Вишня;2.5;1.2;12.4;70
Neo Имунеле Клюква-Малина;2.5;1.2;12.6;71
Neo Имунеле Лесные ягоды;2.5;1.2;13.1;73
Vegeta Легкая;6;0.4;26.5;134
Vegeta Приправа для говядины;9.4;1.7;27.1;161
Vegeta Приправа для гриля;9.1;1;30.8;169
Vegeta Приправа для картофеля;9;1.2;29.9;166
Vegeta Приправа для креветок;11.4;1.1;25.7;158
Vegeta Приправа для курицы;8.4;1.2;29.1;161
Vegeta Приправа для макаронных изделий;9.3;0.8;25.4;146
Vegeta Приправа для моркови по-корейски;8.2;1.2;28.5;158
Vegeta Приправа для плова;10.3;1.5;29.5;173
Vegeta Приправа для риса;11.4;0.8;24.8;152
Vegeta Приправа для рыбы;8.1;1.3;30.5;166
Vegeta Приправа для салата;8.8;0.6;29.8;160
Vegeta Приправа для салата с укропом;9.8;1.3;18;123
Vegeta Приправа для салата с чесноком;8.8;0.8;25.2;143
Vegeta Приправа для свинины;7.9;0.9;25.3;141
Vegeta Приправа для шашлыка;9.1;1.2;26.8;154
Vegeta Пряная;9.3;0.6;24;139
Vegeta Универсальная;8.5;0.6;24;137
Абрикос;0.9;0.1;10.8;41
Абрикосовый компот;0.5;0;21;85
Абрикосовый сок;0.9;0.1;9;38
Авокадо;2;20;7.4;208
Агар пищевой;4;0;76;301
Аджика;1;3.7;5.8;59
Азу;11.9;14.2;10.2;214
Айва;0.6;0.5;9.8;40
Айвовый компот;0.4;0;20;79
Айвовый сок;0.5;0;10.6;45
Айран (тан) газированный;1.1;1.5;1.4;24
Айран (тан) из козьего молока;1.1;1.5;1.4;24
Айран (тан) негазированный;1.1;1.5;1.4;24
Айран (тан) негазированный нежирный;1.1;0.2;1.4;12
Айран (тан) с укропом и огурцом;1.1;1;1.4;19
Айран (тан) сильногазированный;1.1;1;1.4;19
Активиа Быстрый завтрак Клубника;4.3;2.8;20.9;127
Активиа Быстрый завтрак Натуральный;4.8;3.1;14.4;107
Активиа Быстрый завтрак с овсянкой Яблоко-Груша;3.6;3.1;16.7;110
Активиа Кефирная 1%;2.9;1;4.5;39
Активиа Кефирная 3%;2.9;3;3.6;53
Активиа Момент удовольствия Вишня;4.3;2.7;13.7;97
Активиа Момент удовольствия Земляника;4.3;2.7;12.9;97
Активиа Питьевая Ананас;2.8;2;12.2;77
Активиа Питьевая Вишня и чёрная смородина;2.6;2;12.8;81
Активиа Питьевая Злаки;2.8;2.2;12.4;81
Активиа Питьевая Клубника и земляника;2.8;2.2;12.4;81
Активиа Питьевая Малина и злаки;2.8;2.1;11;74
Активиа Питьевая Натуральная;3.2;2.4;4.5;52
Активиа Питьевая Чернослив;2.8;2;12.8;80
Активиа Питьевая Яблоко и злаки;2.8;2.2;13;83
Активиа Семейная Клубника;3.9;3.2;13.6;98
Активиа Семейная Персик;3.9;3.2;13.6;98
Активиа Творожная Клубника;5;4.5;15.5;123
Активиа Творожная Малина;4.2;4.5;11.4;102
Активиа Творожная Мюсли;5;4.5;15.5;123
Активиа Творожная Мюсли и манго;4.8;4.5;14.7;119
Активиа Творожная Натуральная;5.9;4.5;3.7;79
Активиа Творожная Отруби и злаки;4.9;4.3;13.7;113
Активиа Творожная Чернослив;4.7;4.2;14.4;114
Активиа Фреш Арбуз;2.8;1.6;12.3;74
Активиа Фреш Вишня;2.8;1.6;11;70
Активиа Фреш Гранат и Малина;2.8;1.6;11;70
Активиа Фреш Манго;2.8;1.6;12;73
Активиа Фреш Персик;2.8;1.6;11;70
Акула катран;19.9;7;0;142
Алыча;0.2;0;6.9;27
Ананас;0.4;0.2;10.6;49
Ананас консервированный;0.1;0.1;14;57
Ананасовый компот;0.1;0.1;14;71
Ананасовый нектар;0.1;0;12.9;54
Ананасовый сок;0.3;0.1;11.4;48
Антрекот;27.3;31.2;1.7;396
Анчоус атлантический;20.1;6.1;;135
Апельсин;0.9;0.2;8.1;36
Апельсиновый нектар;0.3;0;10.1;43
Апельсиновый сок;0.9;0.2;8.1;36
Арахис;26.3;45.2;9.9;551
Арахис сушеный;29.2;50.2;10.8;611
Арбуз;0.6;0.1;5.8;25
Арбуз консервированный;0.5;0.1;9;37
Артишок;1.2;0.1;6;28
