Абрикосы,1,0,10,45,0,0,0,0,26
Авокадо,2,19,7,197,0,0,0,0,168
Аджика,2,3,8,59,0,0,0,0,0
Айва,1,0,9,41,0,0,0,0,0
Айсберг,1,0,2,17,0,0,0,0,0
Ананас,0,0,12,50,0,0,0,0,1200
Ананас консервированный,0,0,16,65,0,0,0,0,0
Ананас цукаты,1,2,15,78,0,0,0,0,0
Апельсин,2,0,9,43,0,0,0,0,100
Апельсиновый сок,0,0,11,44,0,0,0,0,0
Арахис,25,46,13,561,175,140,20,0,0
Базилик свежий,3,1,4,27,0,0,0,0,0
Баклажаны,1,0,6,27,0,0,0,0,200
Банан,3,3,22,97,0,0,0,0,75
Батон,8,3,49,264,0,0,0,0,0
Бедро индейки,16,9,1,143,0,0,0,0,0
Бекон,15,45,2,469,0,0,0,0,0
Брусника,1,0,9,42,140,0,0,0,0
Бульон из говядины,6,4,0,57,250,200,18,5,0
Бульон из куриной грудки,7,1,0,42,250,200,18,5,0
Бульон куриный,3,2,1,33,250,200,18,5,0
Вареная колбаса,12,22,1,253,0,0,0,0,0
Варёная сгущёнка,7,9,55,326,0,0,0,0,0
Вермишель,11,1,72,347,0,0,0,0,0
Ветчина,16,19,2,246,0,0,0,0,0
Вино белое сухое,0,0,0,67,250,200,18,5,0
Виноград,1,1,16,69,0,0,0,0,0
Вино красное сухое,0,0,1,70,250,200,18,5,0
Вишня,1,0,11,54,190,150,30,0,0
Геркулес,12,6,56,327,90,70,12,3,0
Говядина,20,13,0,192,0,0,0,0,0
Говяжья печень,17,3,3,110,0,0,0,0,0
Голень куриная,20,9,0,168,0,0,0,0,0
Голландский сыр,24,30,0,373,0,0,0,0,0
Голубика,1,1,9,46,260,160,0,0,0
Горбуша,21,7,0,143,0,0,0,0,0
Горох,19,3,42,256,230,185,25,10,0
Горошек зеленый,4,0,10,59,230,185,25,10,0
Горчица,8,11,13,184,0,0,0,4,0
Гранат,2,1,14,67,0,0,0,0,300
Грейпфрут,1,0,9,41,0,0,0,0,300
Грецкие орехи,15,65,14,697,120,100,20,5,0
Грибы белые,9,2,3,28,0,0,0,0,0
