Варенье,335.00,275.00,45.00,16.00,1.00
Вишня свежая,200.00,150.00,30.00,1.00,1.00
Вода,250.00,200.00,18.00,5.00,1.00
Гвоздика молотая,1.00,1.00,1.00,3.00,1.00
Гвоздика (тычинки),1.00,1.00,1.00,4.00,1.00
Горох,230.00,1.00,25.00,10.00,1.00
Горчица,1.00,1.00,1.00,4.00,1.00
Желатин (лист),1.00,1.00,1.00,1.00,2.50
Желатин (порошок),1.00,1.00,15.00,5.00,1.00
Изюм,190.00,155.00,25.00,7.00,1.00
Какао в порошке,150.00,130.00,15.00,9.00,1.00
Капуста белая (средняя),1.00,1.00,1.00,1.00,1500.00
Капуста цветная (средняя),1.00,1.00,1.00,1.00,750.00
Картофель (средний),1.00,1.00,1.00,1.00,100.00
Кислота лимонная,1.00,1.00,25.00,10.00,1.00
Клубника свежая,150.00,120.00,25.00,1.00,1.00
Корица молотая,1.00,1.00,20.00,8.00,1.00
Кофе молотый,1.00,1.00,20.00,7.00,1.00
Крахмал,200.00,1.00,30.00,10.00,1.00
Крупа 'геркулес',90.00,1.00,12.00,6.00,1.00
Крупа гречневая,210.00,165.00,25.00,7.00,1.00
Крупа манная,200.00,150.00,25.00,7.00,1.00
Крупа перловая,230.00,1.00,25.00,8.00,1.00
Крупа пшено,220.00,1.00,25.00,1.00,1.00
Крупа рис,230.00,180.00,25.00,9.00,1.00
Крупа саго,180.00,160.00,20.00,6.00,1.00
Крупа ячневая,180.00,1.00,20.00,7.00,1.00
Ликер,1.00,1.00,20.00,7.00,1.00
Лук (средний),1.00,1.00,1.00,1.00,75.00
Мак,155.00,135.00,18.00,5.00,1.00
Малина свежая,150.00,120.00,20.00,1.00,1.00
Маргарин (растопленный),240.00,190.00,15.00,4.00,1.00
Масло животное (растопленное),240.00,185.00,20.00,5.00,1.00
Масло растительное,240.00,190.00,20.00,5.00,1.00
Масло сливочное,210.00,1.00,25.00,10.00,1.00
Масло топленое,245.00,190.00,20.00,5.00,1.00
Мед,325.00,265.00,35.00,12.00,1.00
Молоко сгущенное,400.00,360.00,30.00,12.00,1.00
Молоко сухое,120.00,100.00,20.00,5.00,1.00
Молоко цельное,250.00,200.00,18.00,5.00,1.00
Морковь средняя,1.00,1.00,1.00,1.00,75.00
Мука картофельная,200.00,150.00,30.00,10.00,1.00
Мука кукурузная,160.00,130.00,30.00,10.00,1.00
Мука пшеничная,160.00,130.00,25.00,10.00,1.00
Огурец (средний),1.00,1.00,1.00,1.00,100.00
Орех арахис (ядро),175.00,140.00,25.00,10.00,1.00
Орех миндаль (ядро),160.00,130.00,30.00,10.00,1.00
Орех фундук (ядро),170.00,130.00,30.00,10.00,1.00
Орехи толченые,120.00,1.00,20.00,6.50,1.00
Перец горошек,1.00,1.00,1.00,4.50,1.00
Перец молотый,1.00,1.00,12.00,5.00,1.00
Петрушка,1.00,1.00,1.00,1.00,50.00
Помидор средний,1.00,1.00,1.00,1.00,100.00
Пюре ягодное,350.00,290.00,50.00,17.00,1.00
Сахар (песок),200.00,180.00,25.00,10.00,1.00
Сахар (пудра),190.00,160.00,25.00,10.00,1.00
Свекла,1.00,1.00,1.00,1.00,50.00
Сливки,250.00,200.00,14.00,5.00,1.00
Смалец,230.00,1.00,60.00,1.00,1.00
Сметана,250.00,210.00,25.00,10.00,1.00
Сода питьевая,1.00,1.00,28.00,12.00,1.00
Соль,325.00,1.00,30.00,10.00,1.00
Сухари молотые,125.00,1.00,15.00,5.00,1.00
Томат1паста,1.00,1.00,30.00,10.00,1.00
Томат1пюре,220.00,1.00,25.00,8.00,1.00
Уксус,250.00,200.00,15.00,5.00,1.00
Фасоль,220.00,1.00,30.00,11.00,1.00
Хлопья кукурузные,50.00,40.00,17.00,2.00,1.00
Хлопья овсяные,100.00,80.00,14.00,4.00,1.00
Хлопья пшеничные,60.00,50.00,9.00,2.00,1.00
Черная смородина,180.00,130.00,32.00,1.00,1.00
Черника сушеная,130.00,1.00,15.00,1.00,1.00
Чечевица,210.00,1.00,1.00,1.00,1.00
Яблоко среднее,1.00,1.00,1.00,1.00,100.00
Яичный порошок,100.00,80.00,25.00,10.00,1.00
Яйцо без скорлупы (среднее),1.00,1.00,1.00,1.00,47.00
Яйцо белок,1.00,1.00,1.00,1.00,30.00
Яйцо желток,1.00,1.00,1.00,1.00,20.00
